Era,BeforeAfterIndependence,Season,Winner,Score,RunnerUp,Date,Venue
1,Before,1960,Espérance sportive de Tunis,,Stade tunisien,,
1,After,1966,Stade tunisien,,Étoile sportive du Sahel,,
1,After,1968,Club africain,,Sfax railway sport,,
1,After,1970,Club africain,,Espérance sportive de Tunis,,
1,After,1973,Étoile sportive du Sahel,,Club africain,,
1,After,1979,Club africain,,Espérance sportive de Tunis,,
1,After,1984,Club athlétique bizertin,,Avenir sportif de La Marsa,,
1,After,1985,Club sportif de Hammam Lif,,Espérance sportive de Tunis,,
1,After,1986,Étoile sportive du Sahel,,Espérance sportive de Tunis,,
1,After,1987,Étoile sportive du Sahel,,Club athlétique bizertin,,
1,After,1993,Espérance sportive de Tunis,,Avenir sportif de La Marsa,,
1,After,1995,Olympique de Béja,,Club sportif sfaxien,,
1,After,2001,Espérance sportive de Tunis,,Club sportif de Hammam Lif,,
1,After,2019,Espérance sportive de Tunis,,Club athlétique bizertin,,
1,After,2020,Espérance sportive de Tunis,,Espérance sportive de Tunis,,
1,After,2020,Union sportive monastirienne,,Club sportif sfaxien,,
1,After,2021,Espérance sportive de Tunis,,Club sportif sfaxien,,
1,After,2023,Olympique de Béja,,Étoile sportive du Sahel,,
1,After,2024,Espérance sportive de Tunis,,Stade tunisien,,
1,After,2025,Espérance sportive de Tunis,,Stade tunisien,,
