matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties
A1AGwmPp,SEMI-FINALS,FINISHED,12.06.2013 15:35,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Sbeitla,https://static.flashscore.com/res/image/data/A3fHmHcM-8IKC4dk0.png,4,0,,
YcAqSwzn,QUARTER-FINALS,AFTER EXTRA TIME,09.06.2013 15:30,Bousalem,https://static.flashscore.com/res/image/data/rZHuvmzB-d0jfhUxB.png,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,0,1,0-0,
h0QpQH4b,QUARTER-FINALS,FINISHED,09.06.2013 15:30,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,Hilalien,https://static.flashscore.com/res/image/data/QJW6LPGG-4E7tTbYc.png,3,1,,
8hOlrTGT,SEMI-FINALS,FINISHED,12.06.2013 15:35,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,3,1,,
6XNlC436,FINAL,FINISHED,15.06.2013 15:30,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,1,2,,
E9RtRckh,QUARTER-FINALS,AFTER PENALTIES,09.06.2013 15:30,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,2,1,1-1,5-4
f7BuTJKu,QUARTER-FINALS,AFTER PENALTIES,09.06.2013 15:30,Sbeitla,https://static.flashscore.com/res/image/data/A3fHmHcM-8IKC4dk0.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,2,1,0-0,4-2
zP90YzLk,1/8-FINALS,FINISHED,05.06.2013 15:30,AS Mohamdia,https://static.flashscore.com/res/image/data/drgNGNBr-dAqyfDKN.png,Bousalem,https://static.flashscore.com/res/image/data/rZHuvmzB-d0jfhUxB.png,0,2,,
OpniebS2,1/8-FINALS,FINISHED,06.06.2013 15:30,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,2,0,,
rk94Xfzd,1/8-FINALS,FINISHED,05.06.2013 15:30,Mateur,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,Hilalien,https://static.flashscore.com/res/image/data/QJW6LPGG-4E7tTbYc.png,0,3,,
Mu88WEk2,1/8-FINALS,AFTER PENALTIES,05.06.2013 15:30,Sbeitla,https://static.flashscore.com/res/image/data/A3fHmHcM-8IKC4dk0.png,MS Manouba,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,2,1,1-1,
dYAdZG5q,1/8-FINALS,FINISHED,04.06.2013 15:30,Menzel Bourguiba,https://static.flashscore.com/res/image/data/l6B352YA-E5K8jcI6.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,0,2,,
xlUPvwrM,1/8-FINALS,FINISHED,02.06.2013 14:30,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,CO Transports,https://static.flashscore.com/res/image/data/G4LS52wS-Y9XrgGum.png,2,0,,
rRULuJSF,1/8-FINALS,FINISHED,29.05.2013 15:30,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,5,2,,
jiYTwccS,1/8-FINALS,WALKOVER,02.06.2013 14:30,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,Jendouba Sport,https://static.flashscore.com/res/image/data/zZ6CEqDa-xn8wh4Km.png,,,,
