matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.referee,information.venue,information.capacity,statistics.ball_possession.home,statistics.ball_possession.away,statistics.total_shots.home,statistics.total_shots.away,statistics.shots_on_target.home,statistics.shots_on_target.away,statistics.corner_kicks.home,statistics.corner_kicks.away,statistics.yellow_cards.home,statistics.yellow_cards.away,statistics.shots_off_target.home,statistics.shots_off_target.away,statistics.free_kicks.home,statistics.free_kicks.away,statistics.throw-ins.home,statistics.throw-ins.away,statistics.goalkeeper_saves.home,statistics.goalkeeper_saves.away
v3u22UJ8,FINAL,AFTER PENALTIES,27.06.2021 16:00,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,0,1,0-0,4-5,Melki M. (Tun),Stade Olympique Hammadi Agrebi (Radès),60 000,49%,51%,11,11,8,8,6,3,2,6,3,3,48,26,20,20,8,8
tSXsNMGM,SEMI-FINALS,AFTER PENALTIES,20.06.2021 17:00,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,1,0,0-0,3-0,,Stade Olympique Hammadi Agrebi (Radès),60 000,,,,,,,,,,,,,,,,,,
b3SnMtWS,SEMI-FINALS,FINISHED,20.06.2021 15:00,CO Transports,https://static.flashscore.com/res/image/data/G4LS52wS-Y9XrgGum.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,0,2,,,,,,,,,,,,,,,,,,,,,,,
6qOpVts6,QUARTER-FINALS,FINISHED,02.06.2021 15:00,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,1,0,,,,,,,,,,,,,,,,,,,,,,,
CtRhTKBI,QUARTER-FINALS,FINISHED,02.06.2021 15:00,CO Transports,https://static.flashscore.com/res/image/data/G4LS52wS-Y9XrgGum.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,1,0,,,,,,,,,,,,,,,,,,,,,,,
IJRlU0dC,QUARTER-FINALS,FINISHED,02.06.2021 15:00,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,1,0,,,,,,,,,,,,,,,,,,,,,,,
OKYuWMRa,QUARTER-FINALS,FINISHED,02.06.2021 15:00,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,1,2,,,,,,,,,,,,,,,,,,,,,,,
AFooiV2O,1/8-FINALS,AFTER PENALTIES,30.05.2021 15:00,CO Transports,https://static.flashscore.com/res/image/data/G4LS52wS-Y9XrgGum.png,Bembla,https://static.flashscore.com/res/image/data/IDspr1Da-Y3QCyThc.png,1,0,0-0,4-3,,,,,,,,,,,,,,,,,,,,,
jDVqgiYB,1/8-FINALS,AFTER PENALTIES,30.05.2021 15:00,Ariana,https://static.flashscore.com/res/image/data/KlFYhsAr-xn8wh4Km.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,1,2,1-1,3-4,,,,,,,,,,,,,,,,,,,,,
QRLfBYmt,1/8-FINALS,FINISHED,30.05.2021 15:00,Djelma,https://static.flashscore.com/res/image/data/lxKtpOAr-8bK9aO3T.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,0,1,,,,,,,,,,,,,,,,,,,,,,,
