matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.venue,information.capacity,statistics.ball_possession.home,statistics.ball_possession.away,statistics.total_shots.home,statistics.total_shots.away,statistics.shots_on_target.home,statistics.shots_on_target.away,statistics.corner_kicks.home,statistics.corner_kicks.away,statistics.yellow_cards.home,statistics.yellow_cards.away,statistics.shots_off_target.home,statistics.shots_off_target.away,statistics.free_kicks.home,statistics.free_kicks.away,statistics.throw-ins.home,statistics.throw-ins.away,statistics.goalkeeper_saves.home,statistics.goalkeeper_saves.away,information.referee
QBJWiDsJ,FINAL,FINISHED,10.09.2022 18:00,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,0,2,,,Stade Olympique de Rades (Rades),60 000,50%,50%,5,6,0,2,6,5,3,5,5,4,11,8,9,12,0,0
p0KshW50,QUARTER-FINALS,FINISHED,15.06.2022 16:00,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,0,2,,,,,,,,,,,,,,,,,,,,,,
xln6AFnt,SEMI-FINALS,AFTER EXTRA TIME,04.09.2022 18:00,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,1,2,1-1,,Stade Olympique Hammadi Agrebi (Radès),60 000,,,,,,,,,,,,,,,,,,,Guirat H. (Tun)
lOkA9Z1n,SEMI-FINALS,FINISHED,02.09.2022 18:00,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,1,0,,,Stade Olympique de Rades (Rades),60 000,,,,,,,,,,,,,,,,,,,
CWXBvDy1,QUARTER-FINALS,AFTER EXTRA TIME,13.06.2022 16:00,Rejiche,https://static.flashscore.com/res/image/data/EDIblgxS-Ago1dcAB.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,2,4,2-2,,,,,,,,,,,,,,,,,,,,,,
OjJoijL6,QUARTER-FINALS,AFTER PENALTIES,14.06.2022 17:00,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,1,2,1-1,4-5,,,,,,,,,,,,,,,,,,,,,
bTT7ugMf,QUARTER-FINALS,FINISHED,12.06.2022 17:00,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Chebba,https://static.flashscore.com/res/image/data/EstmlQXg-4Cdm8uR5.png,1,0,,,Stade Olympique Hammadi Agrebi (Radès),60 000,,,,,,,,,,,,,,,,,,,
Wjyd5Q57,1/8-FINALS,AFTER PENALTIES,08.06.2022 16:00,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,2,1,1-1,6-5,,,,,,,,,,,,,,,,,,,,,
zVjBB6q8,1/8-FINALS,FINISHED,08.06.2022 16:00,Takelsa,https://static.flashscore.com/res/image/data/zgpeVszB-zorknvIN.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,0,1,,,,,,,,,,,,,,,,,,,,,,,
6Lm1sRfs,1/8-FINALS,FINISHED,08.06.2022 16:00,Rejiche,https://static.flashscore.com/res/image/data/EDIblgxS-Ago1dcAB.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,2,0,,,,,,,,,,,,,,,,,,,,,,,
QRkYwhlk,1/8-FINALS,FINISHED,08.06.2022 16:00,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,0,1,,,,,,,,,,,,,,,,,,,,,,,
0WdlDIhg,1/8-FINALS,FINISHED,07.06.2022 16:00,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,3,0,,,,,,,,,,,,,,,,,,,,,,,
fgdhCx8a,1/8-FINALS,AFTER EXTRA TIME,07.06.2022 16:00,Chebba,https://static.flashscore.com/res/image/data/EstmlQXg-4Cdm8uR5.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,2,1,1-1,,,,,,,,,,,,,,,,,,,,,,
bHsoyjY7,1/8-FINALS,FINISHED,07.06.2022 16:00,Haffouz,https://static.flashscore.com/res/image/data/25mI2ayS-ba1JKngh.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,1,3,,,7 March Stadium (Ben Guerdane),2 000,,,,,,,,,,,,,,,,,,,
nThpEbwm,1/8-FINALS,FINISHED,07.06.2022 16:00,Kerib,https://static.flashscore.com/res/image/data/UDnC2ug5-dMmTDlMP.png,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,1,2,,,,,,,,,,,,,,,,,,,,,,,
r1Zzo4X9,1/16-FINALS,FINISHED,03.06.2022 16:00,Medjezien,https://static.flashscore.com/res/image/data/4YcY33fM-88aZXBXo.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,1,3,,,,,,,,,,,,,,,,,,,,,,,
4debXp3A,1/16-FINALS,AFTER EXTRA TIME,03.06.2022 17:00,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,1,0,0-0,,Stade Olympique Hammadi Agrebi (Radès),60 000,,,,,,,,,,,,,,,,,,,
CGo5TBLI,1/16-FINALS,FINISHED,03.06.2022 16:00,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,0,3,,,,,,,,,,,,,,,,,,,,,,,
KSmtPMAj,1/16-FINALS,FINISHED,03.06.2022 16:00,Sbikha,https://static.flashscore.com/res/image/data/2kBe06Fa-SKzhCmi9.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,1,3,,,7 March Stadium (Ben Guerdane),2 000,,,,,,,,,,,,,,,,,,,
zeC9UrmT,1/16-FINALS,FINISHED,03.06.2022 16:00,Zitouna Chommakh,https://static.flashscore.com/res/image/data/zZZCricM-jaDAnITI.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,0,3,,,,,,,,,,,,,,,,,,,,,,,
rmf2W4IG,1/16-FINALS,FINISHED,02.06.2022 16:00,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,Carthage,https://static.flashscore.com/res/image/data/dbPvtsBr-Kz5IDlTA.png,4,0,,,,,,,,,,,,,,,,,,,,,,,
nZuSnQ2c,1/16-FINALS,FINISHED,02.06.2022 16:00,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,3,0,,,,,,,,,,,,,,,,,,,,,,,
SCBDPg11,1/16-FINALS,AFTER EXTRA TIME,02.06.2022 16:00,Haffouz,https://static.flashscore.com/res/image/data/25mI2ayS-ba1JKngh.png,Sidi Alouane,https://static.flashscore.com/res/image/data/6gECUMYg-x8FRxvKu.png,3,1,1-1,,,,,,,,,,,,,,,,,,,,,,
txkxQ2ep,1/16-FINALS,FINISHED,02.06.2022 16:00,Chebba,https://static.flashscore.com/res/image/data/EstmlQXg-4Cdm8uR5.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,2,0,,,,,,,,,,,,,,,,,,,,,,,
YkC9QZoe,1/16-FINALS,AFTER EXTRA TIME,02.06.2022 16:00,Kerib,https://static.flashscore.com/res/image/data/UDnC2ug5-dMmTDlMP.png,Kasserine,https://static.flashscore.com/res/image/data/z7hlOnFa-h0aVzwOp.png,2,1,1-1,,,,,,,,,,,,,,,,,,,,,,
Emd8SeHr,1/16-FINALS,AFTER PENALTIES,01.06.2022 16:00,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,Rejiche,https://static.flashscore.com/res/image/data/EDIblgxS-Ago1dcAB.png,0,1,0-0,2-3,,,,,,,,,,,,,,,,,,,,,
8rsOm6mi,1/16-FINALS,WALKOVER,01.06.2022 16:00,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,Tabarka,https://static.flashscore.com/res/image/data/E5rC9CWg-0MAphK8f.png,,,,,,,,,,,,,,,,,,,,,,,,,
xAg6VOXM,1/16-FINALS,AWARDED,01.06.2022 16:00,Magel Bel Abbes,https://static.flashscore.com/res/image/data/K4hbefe5-fZlUhOoh.png,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,0,3,,,,,,,,,,,,,,,,,,,,,,,
tGFHODG7,1/16-FINALS,AFTER PENALTIES,01.06.2022 16:00,Takelsa,https://static.flashscore.com/res/image/data/zgpeVszB-zorknvIN.png,ES Fahs,https://static.flashscore.com/res/image/data/zFgejddM-8jMHXzst.png,4,3,2-2,4-3,,,,,,,,,,,,,,,,,,,,,
UcVWopI3,1/16-FINALS,FINISHED,01.06.2022 16:00,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,1,2,,,,,,,,,,,,,,,,,,,,,,,
faD5RFWl,1/16-FINALS,FINISHED,01.06.2022 16:00,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,EM Mahdia,https://static.flashscore.com/res/image/data/G8k40aCa-ITL0iSYq.png,3,1,,,,,,,,,,,,,,,,,,,,,,,
KS7gZowp,1/32-FINALS,FINISHED,30.01.2022 13:30,Djbeniena,https://static.flashscore.com/res/image/data/8xRBfLYA-pEKLWfdn.png,Carthage,https://static.flashscore.com/res/image/data/dbPvtsBr-Kz5IDlTA.png,0,2,,,,,,,,,,,,,,,,,,,,,,,
2icbY5hj,1/32-FINALS,AFTER PENALTIES,30.01.2022 13:30,Haffouz,https://static.flashscore.com/res/image/data/25mI2ayS-ba1JKngh.png,Menzel Jemil,https://static.flashscore.com/res/image/data/rRRXitzB-2wqs3Egd.png,3,2,2-2,5-4,,,,,,,,,,,,,,,,,,,,,
jDwgfmF9,1/32-FINALS,FINISHED,30.01.2022 13:30,HSKK,https://static.flashscore.com/res/image/data/fBpgFayS-n1oCCiBU.png,ES Fahs,https://static.flashscore.com/res/image/data/zFgejddM-8jMHXzst.png,0,1,,,,,,,,,,,,,,,,,,,,,,,
2mscg7UF,1/32-FINALS,FINISHED,30.01.2022 13:30,Kasserine,https://static.flashscore.com/res/image/data/z7hlOnFa-h0aVzwOp.png,SS Sfaxien,https://static.flashscore.com/res/image/data/vHtWxMYg-K67qH5mi.png,1,0,,,,,,,,,,,,,,,,,,,,,,,
GfNXn57q,1/32-FINALS,AFTER PENALTIES,30.01.2022 13:30,Medjezien,https://static.flashscore.com/res/image/data/4YcY33fM-88aZXBXo.png,ES Jerba,https://static.flashscore.com/res/image/data/8W1ttZWg-SfBPiv7T.png,1,0,0-0,4-3,,,,,,,,,,,,,,,,,,,,,
8llleTa3,1/32-FINALS,AFTER PENALTIES,30.01.2022 13:30,Rades,https://static.flashscore.com/res/image/data/G4HsLPfM-QNK91MhA.png,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,1,2,1-1,3-4,,,,,,,,,,,,,,,,,,,,,
