matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.referee,information.venue,information.capacity,statistics.ball_possession.home,statistics.ball_possession.away,statistics.total_shots.home,statistics.total_shots.away,statistics.shots_on_target.home,statistics.shots_on_target.away,statistics.corner_kicks.home,statistics.corner_kicks.away,statistics.yellow_cards.home,statistics.yellow_cards.away,statistics.shots_off_target.home,statistics.shots_off_target.away,statistics.goalkeeper_saves.home,statistics.goalkeeper_saves.away
b1wuF4Aj,FINAL,FINISHED,28.05.2023 16:00,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,1,0,,,Al-Juraidi F. (Tun),Stade Olympique Hammadi Agrebi (Radès),60 000,32%,68%,8,21,6,9,2,5,2,1,2,12,9,5
W2i0M0h1,SEMI-FINALS,FINISHED,13.04.2023 13:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,3,2,,,,Stade Olympique Hammadi Agrebi (Radès),60 000,,,,,,,,,,,,,,
SYjooBqi,QUARTER-FINALS,FINISHED,26.02.2023 13:30,Menzel Bourguiba,https://static.flashscore.com/res/image/data/l6B352YA-E5K8jcI6.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,0,1,,,,,,,,,,,,,,,,,,,
0I9lAXzA,QUARTER-FINALS,AFTER PENALTIES,26.02.2023 13:30,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,2,3,2-2,2-4,,,,,,,,,,,,,,,,,
AVPNOFpk,SEMI-FINALS,AFTER PENALTIES,12.04.2023 13:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,0,1,0-0,2-3,,Stade Olympique Hammadi Agrebi (Radès),60 000,,,,,,,,,,,,,,
nyoZ1L6j,QUARTER-FINALS,FINISHED,05.04.2023 13:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,2,0,,,,Stade Olympique Hammadi Agrebi (Radès),60 000,,,,,,,,,,,,,,
rsag9ijG,QUARTER-FINALS,FINISHED,26.02.2023 13:30,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,2,1,,,,,,,,,,,,,,,,,,,
UyGwPxcd,1/8-FINALS,FINISHED,19.02.2023 13:30,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,2,0,,,,,,,,,,,,,,,,,,,
0UgR3MHt,1/8-FINALS,FINISHED,22.02.2023 13:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,4,0,,,,Stade Olympique Hammadi Agrebi (Radès),60 000,,,,,,,,,,,,,,
pWMyJwLt,1/8-FINALS,FINISHED,19.02.2023 13:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,4,0,,,,Stade Olympique Hammadi Agrebi (Radès),60 000,,,,,,,,,,,,,,
Q3XfX0kG,1/8-FINALS,AFTER PENALTIES,19.02.2023 13:30,JS Omrane,https://static.flashscore.com/res/image/data/pjE2rXCr-n1oCCiBU.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,1,2,1-1,0-3,,,,,,,,,,,,,,,,,
GCIf8gGm,1/8-FINALS,FINISHED,19.02.2023 13:30,Menzel Bourguiba,https://static.flashscore.com/res/image/data/l6B352YA-E5K8jcI6.png,BS Bouhajla,https://static.flashscore.com/res/image/data/SM566Fhl-f76oETpp.png,1,0,,,,,,,,,,,,,,,,,,,
MVQ3VvKS,1/8-FINALS,AFTER EXTRA TIME,19.02.2023 13:30,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,Chebba,https://static.flashscore.com/res/image/data/EstmlQXg-4Cdm8uR5.png,2,1,1-1,,,,,,,,,,,,,,,,,,
v7cUo049,1/8-FINALS,AFTER PENALTIES,19.02.2023 13:30,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,Kasserine,https://static.flashscore.com/res/image/data/z7hlOnFa-h0aVzwOp.png,1,0,0-0,4-3,,Boujemaa Kmiti Stadium (Béja),15 000,,,,,,,,,,,,,,
0ngz7qKD,1/8-FINALS,AFTER PENALTIES,19.02.2023 13:30,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,2,1,1-1,4-3,,,,,,,,,,,,,,,,,
SWHxTAq8,1/16-FINALS,FINISHED,16.02.2023 13:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,EM Mahdia,https://static.flashscore.com/res/image/data/G8k40aCa-ITL0iSYq.png,3,0,,,,Stade Olympique Hammadi Agrebi (Radès),60 000,,,,,,,,,,,,,,
tMt8DVqL,1/16-FINALS,FINISHED,15.02.2023 13:30,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,1,0,,,,7 March Stadium (Ben Guerdane),2 000,,,,,,,,,,,,,,
zwVj57i1,1/16-FINALS,FINISHED,15.02.2023 13:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,ES Jerba,https://static.flashscore.com/res/image/data/8W1ttZWg-SfBPiv7T.png,2,1,,,,Stade Olympique Hammadi Agrebi (Radès),60 000,,,,,,,,,,,,,,
f5vdGXa2,1/16-FINALS,FINISHED,12.02.2023 14:00,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,Rejiche,https://static.flashscore.com/res/image/data/EDIblgxS-Ago1dcAB.png,1,0,,,,,,,,,,,,,,,,,,,
tzMtSUbE,1/16-FINALS,FINISHED,12.02.2023 13:30,Bekalta,https://static.flashscore.com/res/image/data/j9twxDWg-prMIA8Xl.png,BS Bouhajla,https://static.flashscore.com/res/image/data/SM566Fhl-f76oETpp.png,0,1,,,,,,,,,,,,,,,,,,,
rko9geza,1/16-FINALS,FINISHED,12.02.2023 13:30,Bousalem,https://static.flashscore.com/res/image/data/rZHuvmzB-d0jfhUxB.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,0,1,,,,,,,,,,,,,,,,,,,
2Vs4EBUE,1/16-FINALS,AFTER PENALTIES,12.02.2023 13:30,Chebba,https://static.flashscore.com/res/image/data/EstmlQXg-4Cdm8uR5.png,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,2,1,1-1,4-3,,,,,,,,,,,,,,,,,
2kAkQ8TQ,1/16-FINALS,FINISHED,12.02.2023 13:30,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,SS Sfaxien,https://static.flashscore.com/res/image/data/vHtWxMYg-K67qH5mi.png,2,0,,,,,,,,,,,,,,,,,,,
plxv897r,1/16-FINALS,FINISHED,12.02.2023 13:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,2,0,,,,,,,,,,,,,,,,,,,
ETTf4R67,1/16-FINALS,AFTER PENALTIES,12.02.2023 13:30,Hammamet,https://static.flashscore.com/res/image/data/M7KyCyZA-xn8wh4Km.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,1,2,1-1,3-5,,,,,,,,,,,,,,,,,
U5qHiZ4B,1/16-FINALS,AFTER PENALTIES,12.02.2023 13:30,JS Omrane,https://static.flashscore.com/res/image/data/pjE2rXCr-n1oCCiBU.png,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,2,1,0-0,5-4,,,,,,,,,,,,,,,,,
Yew0FiF8,1/16-FINALS,FINISHED,12.02.2023 13:30,Kasserine,https://static.flashscore.com/res/image/data/z7hlOnFa-h0aVzwOp.png,Rades,https://static.flashscore.com/res/image/data/G4HsLPfM-QNK91MhA.png,1,0,,,,,,,,,,,,,,,,,,,
vByr7TMl,1/16-FINALS,FINISHED,12.02.2023 13:30,LPTA Tozeur,https://static.flashscore.com/res/image/data/2H2Wefe5-YDgm7WW0.png,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,1,2,,,,,,,,,,,,,,,,,,,
OpWCCkaR,1/16-FINALS,AFTER PENALTIES,12.02.2023 13:30,Megrine,https://static.flashscore.com/res/image/data/4pMCcFZA-QeC5jIFp.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,0,1,0-0,2-4,,,,,,,,,,,,,,,,,
I1zn6mxe,1/16-FINALS,FINISHED,12.02.2023 13:30,Menzel Bourguiba,https://static.flashscore.com/res/image/data/l6B352YA-E5K8jcI6.png,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,1,0,,,,,,,,,,,,,,,,,,,
ObBoRlEK,1/16-FINALS,AFTER PENALTIES,12.02.2023 13:30,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,1,2,1-1,1-3,,,,,,,,,,,,,,,,,
MHXM19WT,1/32-FINALS,FINISHED,27.01.2023 13:30,Ahly Hajri,https://static.flashscore.com/res/image/data/2ZI1TMh5-faxN9kIi.png,Bousalem,https://static.flashscore.com/res/image/data/rZHuvmzB-d0jfhUxB.png,0,2,,,,,,,,,,,,,,,,,,,
SfYI2kHN,1/32-FINALS,FINISHED,27.01.2023 13:30,Avenir El Batan,https://static.flashscore.com/res/image/data/j3Xuk0jl-6yg3nEl8.png,LPTA Tozeur,https://static.flashscore.com/res/image/data/2H2Wefe5-YDgm7WW0.png,0,1,,,,,,,,,,,,,,,,,,,
8hIH4BnB,1/32-FINALS,AFTER PENALTIES,27.01.2023 13:30,Bouchamma,https://static.flashscore.com/res/image/data/foguNcxS-p4sXOVPr.png,Menzel Bourguiba,https://static.flashscore.com/res/image/data/l6B352YA-E5K8jcI6.png,2,3,2-2,,,,,,,,,,,,,,,,,,
U1JD5iX4,1/32-FINALS,FINISHED,27.01.2023 13:30,BS Bouhajla,https://static.flashscore.com/res/image/data/SM566Fhl-f76oETpp.png,Zaouiet Sousse,https://static.flashscore.com/res/image/data/EuupP0h5-rP0ntKDA.png,3,1,,,,,,,,,,,,,,,,,,,
dztXhEma,1/32-FINALS,FINISHED,27.01.2023 13:30,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,Union Ksibet Mediouni,https://static.flashscore.com/res/image/data/IFOGS6eM-Y3QCyThc.png,2,1,,,,,,,,,,,,,,,,,,,
MyG57D2h,1/32-FINALS,FINISHED,27.01.2023 13:30,EM Mahdia,https://static.flashscore.com/res/image/data/G8k40aCa-ITL0iSYq.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,1,0,,,,,,,,,,,,,,,,,,,
vaoSgfYh,1/32-FINALS,FINISHED,27.01.2023 13:30,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,Korba,https://static.flashscore.com/res/image/data/2u7FXwxS-xn8wh4Km.png,1,0,,,,,,,,,,,,,,,,,,,
zuK96XHb,1/32-FINALS,FINISHED,27.01.2023 13:30,Guettar,https://static.flashscore.com/res/image/data/r9MIDgg5-xdaRWerk.png,ES Jerba,https://static.flashscore.com/res/image/data/8W1ttZWg-SfBPiv7T.png,0,2,,,,,,,,,,,,,,,,,,,
l4ZE3V1H,1/32-FINALS,AFTER PENALTIES,27.01.2023 13:30,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,SS Sfaxien,https://static.flashscore.com/res/image/data/vHtWxMYg-K67qH5mi.png,0,1,0-0,4-5,,,,,,,,,,,,,,,,,
0MRd9ZXu,1/32-FINALS,AFTER EXTRA TIME,27.01.2023 13:30,LS Sidi Bouzid,https://static.flashscore.com/res/image/data/fPPO0LZA-OjxJqSGS.png,Megrine,https://static.flashscore.com/res/image/data/4pMCcFZA-QeC5jIFp.png,1,2,1-1,,,,,,,,,,,,,,,,,,
vDQ08gmn,1/32-FINALS,AFTER PENALTIES,27.01.2023 13:30,Mdhilla,https://static.flashscore.com/res/image/data/408AMIEG-x6GNeBnt.png,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,0,1,0-0,4-5,,,,,,,,,,,,,,,,,
zRvyhY25,1/32-FINALS,AFTER PENALTIES,27.01.2023 13:30,Progres Sakiet,https://static.flashscore.com/res/image/data/t0YQckjl-W8kdK7Z2.png,Kasserine,https://static.flashscore.com/res/image/data/z7hlOnFa-h0aVzwOp.png,0,1,0-0,3-4,,,,,,,,,,,,,,,,,
AcnmkWnO,1/32-FINALS,FINISHED,27.01.2023 13:30,Sporting Ben Arous,https://static.flashscore.com/res/image/data/GI7DQxgl-Gx7siOZg.png,Hammamet,https://static.flashscore.com/res/image/data/M7KyCyZA-xn8wh4Km.png,0,2,,,,,,,,,,,,,,,,,,,
lloilj2U,1/32-FINALS,FINISHED,27.01.2023 13:30,Sidi Makhlouf,https://static.flashscore.com/res/image/data/6sW7vLAr-zZTZffD6.png,Rades,https://static.flashscore.com/res/image/data/G4HsLPfM-QNK91MhA.png,0,1,,,,,,,,,,,,,,,,,,,
UmvuihIB,1/32-FINALS,AFTER EXTRA TIME,27.01.2023 13:30,SS Ksour,https://static.flashscore.com/res/image/data/Sp2tsgg5-A3YbedVP.png,Bekalta,https://static.flashscore.com/res/image/data/j9twxDWg-prMIA8Xl.png,1,2,1-1,,,,,,,,,,,,,,,,,,
SYdrjCXH,1/32-FINALS,FINISHED,27.01.2023 13:30,Teboulbou Gabes,https://static.flashscore.com/res/image/data/QwN53Okl-vNpsA76c.png,JS Omrane,https://static.flashscore.com/res/image/data/pjE2rXCr-n1oCCiBU.png,0,4,,,,,,,,,,,,,,,,,,,
G2eOCPp1,1/64-FINALS,AFTER EXTRA TIME,18.01.2023 13:30,Oued Ellil,https://static.flashscore.com/res/image/data/MXILGUyS-r35YtXLa.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,2,4,2-2,,,,,,,,,,,,,,,,,,
zoF8IfHM,1/64-FINALS,WALKOVER,15.01.2023 14:00,ES Jerba,https://static.flashscore.com/res/image/data/8W1ttZWg-SfBPiv7T.png,Espoir Rogba,https://static.flashscore.com/res/image/data/K6T89IXg-63ZB9bOR.png,,,,,,,,,,,,,,,,,,,,,
lheqChfj,1/64-FINALS,AFTER EXTRA TIME,15.01.2023 13:30,AS Djerba,https://static.flashscore.com/res/image/data/rgFzPdYA-KYuuicg3.png,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,0,1,0-0,,,,,,,,,,,,,,,,,,
8xhGEoGl,1/64-FINALS,FINISHED,15.01.2023 13:30,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,Rades,https://static.flashscore.com/res/image/data/G4HsLPfM-QNK91MhA.png,1,2,,,,,,,,,,,,,,,,,,,
UmYVZenc,1/64-FINALS,AFTER PENALTIES,15.01.2023 13:30,Bembla,https://static.flashscore.com/res/image/data/IDspr1Da-Y3QCyThc.png,Korba,https://static.flashscore.com/res/image/data/2u7FXwxS-xn8wh4Km.png,0,1,0-0,4-5,,,,,,,,,,,,,,,,,
