matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.referee,information.venue,information.capacity,statistics.ball_possession.home,statistics.ball_possession.away,statistics.total_shots.home,statistics.total_shots.away,statistics.shots_on_target.home,statistics.shots_on_target.away,statistics.corner_kicks.home,statistics.corner_kicks.away,statistics.shots_off_target.home,statistics.shots_off_target.away,statistics.goalkeeper_saves.home,statistics.goalkeeper_saves.away
p0YGKdV8,FINAL,FINISHED,30.06.2024 17:00,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,2,0,,,Ouertani S. (Tun),Stade Olympique Hammadi Agrebi (Radès),60 000,55%,45%,9,4,5,2,7,3,4,2,2,3
2aBxaMMF,SEMI-FINALS,AFTER EXTRA TIME,26.06.2024 17:00,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,2,1,1-1,,,,,,,,,,,,,,,,
x6ktqKHi,QUARTER-FINALS,AFTER EXTRA TIME,22.06.2024 16:00,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,3,2,2-2,,,Stade Chedly Zouiten (Tunis),18 000,,,,,,,,,,,,
tpNT0rh3,SEMI-FINALS,FINISHED,26.06.2024 16:00,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,1,4,,,,Stade Chedly Zouiten (Tunis),18 000,,,,,,,,,,,,
6kHp0czg,QUARTER-FINALS,FINISHED,23.06.2024 19:00,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,1,2,,,,,,,,,,,,,,,,,
Gl0xylO7,QUARTER-FINALS,AFTER EXTRA TIME,23.06.2024 16:00,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,2,4,2-2,,,,,,,,,,,,,,,,
befb8zo3,QUARTER-FINALS,AFTER EXTRA TIME,21.06.2024 17:00,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Sporting Ben Arous,https://static.flashscore.com/res/image/data/GI7DQxgl-Gx7siOZg.png,1,0,0-0,,,,,,,,,,,,,,,,
6i0m2UFE,1/8-FINALS,AFTER EXTRA TIME,19.05.2024 14:30,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,ES Jerba,https://static.flashscore.com/res/image/data/8W1ttZWg-SfBPiv7T.png,2,1,1-1,,,Boujemaa Kmiti Stadium (Béja),15 000,,,,,,,,,,,,
6VOCkiW8,1/8-FINALS,FINISHED,19.05.2024 14:30,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,2,0,,,,,,,,,,,,,,,,,
SpDLmV0L,1/8-FINALS,AFTER EXTRA TIME,19.05.2024 14:30,Progres Sakiet,https://static.flashscore.com/res/image/data/t0YQckjl-W8kdK7Z2.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,1,2,1-1,,,,,,,,,,,,,,,,
