matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties
bsQAfUHf,ROUND 26,FINISHED,15.05.2005 17:00,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,0,3,,
nabfdjmr,ROUND 26,FINISHED,15.05.2005 17:00,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,2,0,,
4KQ6eA2l,ROUND 26,FINISHED,15.05.2005 17:00,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,1,1,,
rofFiS1D,ROUND 26,FINISHED,15.05.2005 17:00,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,EO Goulette Kram,https://static.flashscore.com/res/image/data/KMsSZjYA-hAnDbxIP.png,2,0,,
xYOEglX0,ROUND 26,FINISHED,15.05.2005 17:00,ES Beni-Khalled,https://static.flashscore.com/res/image/data/tlTudfCa-j3c9OysL.png,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,0,1,,
4feBh8n7,ROUND 26,FINISHED,15.05.2005 17:00,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,3,2,,
0665GBvE,ROUND 26,FINISHED,15.05.2005 17:00,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,0,4,,
tILR0WvR,ROUND 25,FINISHED,11.05.2005 17:00,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,1,0,,
lvHOvkI7,ROUND 25,FINISHED,06.05.2005 17:00,EO Goulette Kram,https://static.flashscore.com/res/image/data/KMsSZjYA-hAnDbxIP.png,ES Beni-Khalled,https://static.flashscore.com/res/image/data/tlTudfCa-j3c9OysL.png,2,0,,
x4DKuV21,ROUND 25,FINISHED,06.05.2005 17:00,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,2,0,,
rsEGtBme,ROUND 25,FINISHED,06.05.2005 17:00,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,1,0,,
2RMN1CPK,ROUND 25,FINISHED,06.05.2005 17:00,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,0,0,,
YiIJ2hAE,ROUND 25,FINISHED,06.05.2005 17:00,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,AS Marsa,https://static.flashscore.com/res/image/data/0E0qbpCa-zgzLiH7t.png,3,2,,
f1JF3Yf8,ROUND 25,FINISHED,06.05.2005 17:00,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,0,1,,
4jFCsiYl,ROUND 24,FINISHED,28.04.2005 17:00,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,1,1,,
