season_id,season,start_year,end_year,BeforeAfterIndependence
1,1907-08,1907,1908,Before
2,1908-09,1908,1909,Before
3,1910-11,1910,1911,Before
4,1911-12,1911,1912,Before
5,1912-13,1912,1913,Before
6,1913-14,1913,1914,Before
7,1914-15,1914,1915,Before
8,1915-16,1915,1916,Before
9,1916-17,1916,1917,Before
10,1917-18,1917,1918,Before
11,1918-19,1918,1919,Before
12,1919-20,1919,1920,Before
13,1920-21,1920,1921,Before
14,1921-22,1921,1922,Before
15,1922-23,1922,1923,Before
16,1923-24,1923,1924,Before
17,1924-25,1924,1925,Before
18,1925-26,1925,1926,Before
19,1926-27,1926,1927,Before
20,1927-28,1927,1928,Before
21,1928-29,1928,1929,Before
22,1929-30,1929,1930,Before
23,1930-31,1930,1931,Before
24,1931-32,1931,1932,Before
25,1932-33,1932,1933,Before
26,1933-34,1933,1934,Before
27,1934-35,1934,1935,Before
28,1935-36,1935,1936,Before
29,1936-37,1936,1937,Before
30,1937-38,1937,1938,Before
31,1938-39,1938,1939,Before
32,1939-40,1939,1940,Before
33,1940-41,1940,1941,Before
34,1941-42,1941,1942,Before
35,1942-43,1942,1943,Before
36,1943-44,1943,1944,Before
37,1944-45,1944,1945,Before
38,1945-46,1945,1946,Before
39,1946-47,1946,1947,Before
40,1947-48,1947,1948,Before
41,1948-49,1948,1949,Before
42,1949-50,1949,1950,Before
43,1950-51,1950,1951,Before
44,1951-52,1951,1952,Before
45,1952-53,1952,1953,Before
46,1953-54,1953,1954,Before
47,1954-55,1954,1955,Before
48,1955-56,1955,1956,After
49,1956-57,1956,1957,After
50,1957-58,1957,1958,After
51,1958-59,1958,1959,After
52,1959-60,1959,1960,After
53,1960-61,1960,1961,After
54,1961-62,1961,1962,After
55,1962-63,1962,1963,After
56,1963-64,1963,1964,After
57,1964-65,1964,1965,After
58,1965-66,1965,1966,After
59,1966-67,1966,1967,After
60,1967-68,1967,1968,After
61,1968-69,1968,1969,After
62,1969-70,1969,1970,After
63,1970-71,1970,1971,After
64,1971-72,1971,1972,After
65,1972-73,1972,1973,After
66,1973-74,1973,1974,After
67,1974-75,1974,1975,After
68,1975-76,1975,1976,After
69,1976-77,1976,1977,After
70,1977-78,1977,1978,After
71,1978-79,1978,1979,After
72,1979-80,1979,1980,After
73,1980-81,1980,1981,After
74,1981-82,1981,1982,After
75,1982-83,1982,1983,After
76,1983-84,1983,1984,After
77,1984-85,1984,1985,After
78,1985-86,1985,1986,After
79,1986-87,1986,1987,After
80,1987-88,1987,1988,After
81,1988-89,1988,1989,After
82,1989-90,1989,1990,After
83,1990-91,1990,1991,After
84,1991-92,1991,1992,After
85,1992-93,1992,1993,After
86,1993-94,1993,1994,After
87,1994-95,1994,1995,After
88,1995-96,1995,1996,After
89,1996-97,1996,1997,After
90,1997-98,1997,1998,After
91,1998-99,1998,1999,After
92,1999-00,1999,2000,After
93,1999-2000,1999,2000,After
94,2000-01,2000,2001,After
95,2001-02,2001,2002,After
96,2002-03,2002,2003,After
97,2003-04,2003,2004,After
98,2004-05,2004,2005,After
99,2005-06,2005,2006,After
100,2006-07,2006,2007,After
101,2007-08,2007,2008,After
102,2008-09,2008,2009,After
103,2009-10,2009,2010,After
104,2010-11,2010,2011,After
105,2011-12,2011,2012,After
106,2012-13,2012,2013,After
107,2013-14,2013,2014,After
108,2014-15,2014,2015,After
109,2015-16,2015,2016,After
110,2016-17,2016,2017,After
111,2017-18,2017,2018,After
112,2018-19,2018,2019,After
113,2019-20,2019,2020,After
114,2020-21,2020,2021,After
115,2021-22,2021,2022,After
116,2022-23,2022,2023,After
117,2023-24,2023,2024,After
118,2024-25,2024,2025,After
119,2025-26,2025,2026,After
120,2026-27,2026,2027,After
