team_name,id_team,location,stadium_id
Esperance Tunis,1,Tunis,6
Club Africain,2,Tunis,6
Etoile du Sahel,3,Sousse,
CS Sfaxien,4,Sfax,12
US Monastir,5,Monastir,
CA Bizertin,6,Bizerte,1
Stade Tunisien,7,Tunis,5
CS Hammam-Lif,8,Hammam-Lif,4
AS Marsa,9,La Marsa,2
AS Gabes,10,Gabès,13
ES Metlaoui,11,Metlaoui,
ES Hammam Sousse,12,Hammam Sousse,
ES Zarzis,13,Zarzis,
Olympique Beja,14,Béja,7
US Ben Guerdane,15,Ben Guerdane,
US Tataouine,16,Tataouine,11
JS Kairouan,17,Kairouan,8
Olympique Medenine,18,Médenine,
JS El Omrane,19,Tunis,
AS Soliman,20,Soliman,
SC Moknine,21,Moknine,
Jendouba Sport,22,Jendouba,3
EGS Gafsa,23,Gafsa,9
El Makarem Mahdia,24,Mahdia,
AS Megrine,25,Mégrine,
CS M'saken,26,M'saken,
Kalaa Sport,27,Kalâa Kebira,
Sahel Sportif,28,,
Croissant Sportif M'saken,29,M'saken,
Sporting Ben Arous,30,Ben Arous,4
SC Ben Arous,31,Ben Arous,4
M'saken,32,M'saken,
Redeyef CS,33,Redeyef,
Océano Club Kerkennah,34,Kerkennah,
Kerkennah OC,35,Kerkennah,
Croissant Sportif de Redeyef,36,Redeyef,
AS Djerba,37,Djerba,10
AS Kasserine,38,Kasserine,13
Stade Gabesien,39,Gabès,13
CS Korba,40,Korba,
Avenir Sportif de La Marsa,41,La Marsa,2
AS Ariana,42,Ariana,
SA Menzel Bourguiba,43,Menzel Bourguiba,
AS Oued Ellil,44,Oued Ellil,
US Monastir B,45,Monastir,
Avenir de Soliman,46,Soliman,
Club Sportif Sfaxien B,47,Sfax,12
ES Radès,48,Radès,
CROISSANT RK,49,,
Ben Guerdane B,50,Ben Guerdane,
SC Moknine B,51,Moknine,
AS Jelma,52,Sidi Bouzid,
Croissant Sportif de Safi,53,,
AS Gabes B,54,Gabès,13
Moknine SC,55,Moknine,
Etoile Metlaoui,56,Metlaoui,
AS Kerkennah,57,Kerkennah,
Olympique Kerkennah,58,Kerkennah,
Union Monastirienne,59,Monastir,
CS Hammam Sousse,60,Hammam Sousse,
AS Gafsa,61,Gafsa,9
Etoile Sportive Gabes,62,Gabès,13
SFAX RAIL,63,Sfax,
AS Sfaxien Youth,64,Sfax,
AS Metlaoui B,65,Metlaoui,
AS Marsa B,66,La Marsa,2
FC Kairouan,67,Kairouan,8
AS Oued Ellil B,68,Oued Ellil,
CS M'saken B,69,M'saken,
Club Sportif de Menzel Bourguiba,70,Menzel Bourguiba,
AS Agareb,71,,
AS Hamma,72,,
AS Mohamdia,73,,
AS Tataouine,74,,
Ahly Hajri,75,,
Ahly Sfaxien,76,,
Ahly de Sfax,77,,
Aigle Teboulba,78,,
Ain Jalloula,79,,
Ajim Djerba,80,,
Alaouite,81,,
Astre Souk Lahad,82,,
Avenir El Batan,83,,
BS Bouhajla,84,,
BS Regueb,85,,
Baath Bir Mcherga,86,,
Badr El Ain,87,,
Banani,88,,
Barnousa,89,,
Bekalta,90,,
Bembla,91,,
Beni Khedache,92,,
Bir Bouregba,93,,
Bir El Hafey,94,,
Bizerte,95,,
Borj Amri,96,,
Borj Cedria,97,,
Bouchamma,98,,
Boumerdes,99,,
Bousalem,100,,
CO Medenine,101,,
CO Transports,102,,
CS Akouda,103,,
CS Jebeniana,104,,
CS Makthar,105,,
Carthage,106,,
Chebba,107,,
Chebika,108,,
Cheminots,109,,
Cheneni,110,,
Club Nafta,111,,
Dahmani,112,,
Degueche,113,,
Dehmani,114,,
Djbeniena,115,,
Djelma,116,,
Douz,117,,
EO Goulette Kram,118,,
ES Beni-Khalled,119,,
ES BouHajla,120,,
ES Bouficha,121,,
ES El Aloui,122,,
ES Elejmi,123,,
ES Fahs,124,,
ES Jerba,125,,
ES Nafta,126,,
El Alia Sport,127,,
Enfida Sports,128,,
Espoir Bouchama,129,,
Espoir Rogba,130,,
Etoile Sahel,131,,
Ettadhamen,132,,
Ettahrir,133,,
Feriana,134,,
Foussana,135,,
Gafsa Ksar,136,,
Grombalia Sports,137,,
Guettar,138,,
HSKK,139,,
Haffouz,140,,
Hamam-Sousse,141,,
Hammam Djerid,142,,
Hammamet,143,,
Hezoua,144,,
Hilalien,145,,
JS Manouba,146,,
JS Omrane,147,,
JSTozeur,148,,
Jebel Jeloud,149,,
Jerissa,150,,
Jeunesse Soukra,151,,
Jeunesse Tebourba,152,,
Kerib,153,,
Khdhra Sport,154,,
Khniss,155,,
Ksibet Sousse,156,,
Ksour Essef,157,,
LPTA Tozeur,158,,
LS Sidi Bouzid,159,,
Layoun,160,,
MS Manouba,161,,
MS Metlaoui,162,,
Magel Bel Abbes,163,,
Mareth,164,,
Mateur,165,,
Mdhilla,166,,
Medjezien,167,,
Meknassi,168,,
Menzel Abderrahmane,169,,
Menzel Bouzaien,170,,
Menzel Bouzelfa,171,,
Menzel Jemil,172,,
Menzel Kamel,173,,
Menzel Nour,174,,
Menzel Temim,175,,
Messadine,176,,
Metline,177,,
Metouia,178,,
Mornag,179,,
Moulares,180,,
Msaken,181,,
NA Bouhjar,182,,
Nahdha Jammal,183,,
OC Kerkennah,184,,
Oasis,185,,
Olympique Ghorghar,186,,
Olympique Kef,187,,
Om Laarayes,188,,
Ouerdanine,189,,
Progres Sakiet,190,,
Ras Jebel,191,,
Rejiche,192,,
Rouhia,193,,
SS Gafsa,194,,
SS Ksour,195,,
SS Sfaxien,196,,
Sbeitla,197,,
Sbikha,198,,
Sejnane,199,,
Sidi Alouane,200,,
Sidi Ameur,201,,
Sidi Bou Ali,202,,
Sidi Bouzid,203,,
Sidi Makhlouf,204,,
Siliana,205,,
Sportive Kebili,206,,
Stade Nabeulien,207,,
Stir Zarzouna,208,,
Tabarka,209,,
Takelsa,210,,
Tazarka,211,,
Teboulbou Gabes,212,,
Union Ksibet Mediouni,213,,
WS Hamma,214,,
Widad Sers,215,,
Zaouiet Sousse,216,,
Zitouna Chommakh,217,,
Zriba-Hammam,218,,
